timestamp,trades,pret,target,gain,pct,cont
2018-09-01 20:00:00,neo,0.020811566422668,0.0050584874865481,0.03834195778316709,0.66835791156617,0
2018-09-01 22:00:00,etc,-0.0043644352891063,0.0033215959489672,0.012288950267763896,0.5750852204557727,0
2018-09-02 00:00:00,bnb,0.0052951935741381,0.0115098152486809,0.014187472085821435,0.7722941028277803,0
2018-09-02 02:00:00,eth,-0.0051514477934256,-0.0091270589617492,0.010059200465614185,0.4192697434969154,0
2018-09-02 04:00:00,icx,0.0384644690394941,0.0124679225725933,0.04598192182009342,0.880761354835728,0
2018-09-02 06:00:00,vet,0.0258228097004078,0.0130478647273526,0.034865814277070875,0.8969783881997472,0
2018-09-02 08:00:00,xlm,-0.0008652081952751,0.0174422847195574,0.007842599885489347,0.22986076212127257,0
2018-09-02 10:00:00,nuls,-0.0020581713888514,0.0299598357647253,0.015135791523669954,0.21848039949407344,0
2018-09-02 12:00:00,bnb,-0.0022379136971468,-0.0031029674680858,0.023168972961938594,0.2580843243034829,0
2018-09-02 14:00:00,vet,0.0086209202683788,-0.004754426463986,0.027580864199965933,0.4652644196005545,0
2018-09-02 16:00:00,ont,0.0219695072088902,-0.0077466069746798,0.024925145273083975,0.9046131062925848,0
2018-09-02 18:00:00,neo,0.0154190064279123,0.0033652177599003,0.03235975213311469,0.8090935919322664,0
2018-09-02 20:00:00,ltc,0.0023387692969484,-9.209493505206317e-05,0.009023957655911938,0.5932060505494676,0
2018-09-02 22:00:00,nuls,0.0148693543994691,0.0247478275109748,0.03249604276305719,0.6619646749486802,0
2018-09-03 00:00:00,eos,0.0135609997240031,0.011069250666045,0.02237144072579382,0.8718797895872903,0
2018-09-03 02:00:00,etc,0.0618332252654777,0.0133560442519094,0.07656449457233357,0.8060274078531146,0
2018-09-03 04:00:00,ltc,0.0018060467029878,0.0042841028177494,0.007568557105823625,0.7874511384713526,0
2018-09-03 06:00:00,nuls,0.0078912642294876,0.0110574160044087,0.021120869129850815,0.5352515156001098,0
2018-09-03 08:00:00,iota,0.007845812871067,0.028257605857814,0.015065211308743278,0.7959361163916382,0
2018-09-03 10:00:00,etc,0.007293420100034,0.0040870545489998,0.02490567731683168,0.34347102259412193,0
2018-09-03 12:00:00,icx,0.0106778996646552,-0.0155474422331221,0.016623500659399815,0.7093976841336908,0
2018-09-03 14:00:00,neo,0.035860293072576,-0.0148167724131521,0.04823956841919994,0.996164358083176,0
2018-09-03 16:00:00,etc,0.0265713695620499,0.0127263168126544,0.03586395852845733,0.8168881627671355,0
2018-09-03 18:00:00,qtum,0.0025999793561498,-0.0044757177633445,0.009217877559547687,0.9226276969934464,0
2018-09-03 20:00:00,neo,0.0133960893202252,-0.0059400626019819,0.024481328567717436,0.8803866351682482,0
2018-09-03 22:00:00,vet,0.0391288218025429,0.0068935706867467,0.05294815162801135,0.8011592517108694,0
2018-09-04 00:00:00,ont,0.006590826716731,-0.0012227455667728,0.011794041546662656,0.6848453053215278,0
2018-09-04 02:00:00,ltc,0.0229091087989931,0.0075782475402292,0.02894919324174232,0.8267772420060143,0
2018-09-04 04:00:00,ont,0.0141133190688102,0.00098999266845,0.030872994920112484,0.499261337275297,0
2018-09-04 06:00:00,vet,0.0048019388718314,-0.017072935805507,0.02639343081281941,0.8407974649548741,0
2018-09-04 08:00:00,icx,0.0364580584300931,0.0199794352872223,0.039288482649580146,0.9861286041614117,0
2018-09-04 10:00:00,ltc,0.007255715890284,-0.0163646224146708,0.017920778508771985,0.6729520307274462,0
2018-09-04 12:00:00,iota,0.020064684983853,-0.0045629744157068,0.027251655182063253,0.812893294871358,0
2018-09-04 14:00:00,neo,0.0340334751817929,0.0033374296372834,0.04360581752685732,0.945430280324525,0
2018-09-04 16:00:00,nuls,0.0129247009317725,0.0060496589447936,0.026169918721958813,0.5469608111547455,0
2018-09-04 18:00:00,neo,0.0139425499282114,0.0113295436389824,0.025420903686025894,0.629606996643574,0
2018-09-04 20:00:00,xlm,0.0109979220069023,-0.0310259558864,0.020386080201304498,0.914360354654844,0
2018-09-04 22:00:00,xlm,0.0310259558864,0.0113910330494059,0.03601656202995459,0.9324480061789556,1
2018-09-05 00:00:00,vet,0.0092006700765726,-0.0111165282206626,0.014883494246439281,0.8806783430824939,0
2018-09-05 02:00:00,neo,0.0204394674133517,0.0118552243314228,0.028895239563317843,0.8214487830124632,0
2018-09-05 04:00:00,ont,-0.0002400727072982,0.0021009343161857,0.008534075608339754,0.6958521338307968,0
2018-09-05 06:00:00,ltc,0.0039848955412616,-0.0006409918133104,0.009115138154798808,0.834151466623888,0
2018-09-05 08:00:00,nuls,0.0044200027136063,0.0272350093082679,0.013339149741155172,0.07702133781866134,0
2018-09-05 10:00:00,xlm,0.0083173403666949,0.0214786117891168,0.025633809436219138,0.4084570253319581,0
2018-09-05 12:00:00,vet,-0.0122369315034764,-0.0225165394185005,0.05961847790182433,0.5110515052171797,0
2018-09-05 14:00:00,nuls,0.0401568821602616,0.0074489850854029,0.04485817644316545,0.893716831266591,0
2018-09-05 16:00:00,qtum,-0.0069504049926474,0.0390818871388352,0.019169073055477687,0.5096908249125941,0
2018-09-05 18:00:00,xlm,-0.01109280759023,-0.0022966099508158,0.04113664528712202,0.4701296063574471,0
2018-09-05 20:00:00,vet,0.0114909973347726,-0.0105726917274719,0.03031402189068594,0.8397478464423931,0
2018-09-05 22:00:00,iota,0.0143239004952942,0.0401868624012866,0.024729079354029165,0.6085034976874232,0
